Ad_Type,Platform,Target_Age,Budget,Posting_Time,Caption,Category,Followers,Engagement,Image_File
Image,Instagram,25,6500,Afternoon,"Our new liquid eyeliner is ultra-precise and jet black. #liquideyeliner #makeup #cosmetic",Cosmetic,50k,5700,image_186.jpg
Video,Facebook,35,16200,Evening,"This new projector turns any wall into a movie screen. Movie night just got an upgrade. 🍿 #projector #hometheater #tech",Electronic,100k,31000,image_187.jpg
Image,Facebook,45,4500,Morning,"A collection of heartwarming animal stories. Guaranteed to make you smile. 🐾 #animalstories #feelgood #books",Books,1k,2200,image_188.jpg
Carousel,Instagram,28,9200,Afternoon,"How to accessorize with hats. A hat for every occasion. 🎩 #hats #styletips #fashion",Clothing,100k,9900,image_189.jpg
Video,Instagram,33,30000,Night,"Our new smart garden grows fresh herbs and vegetables indoors. No green thumb required. 🌱 #smartgarden #indoorgardening #tech",Electronic,1M+,85000,image_190.jpg
Image,Instagram,24,6800,Morning,"A refreshing face mist to hydrate and revive your skin throughout the day. #facemist #skincare #cosmetic",Cosmetic,10k,3900,image_191.jpg
Video,Facebook,34,11100,Evening,"The ultimate guide to making your own pizza dough. It's easier than you think. 🍕 #pizzadough #recipe #cooking",Food,50k,12100,image_192.jpg
Carousel,Instagram,30,8600,Afternoon,"The best historical fiction of the decade. Journey back in time. #historicalfiction #readinglist #books",Books,10k,9100,image_193.jpg
Image,Facebook,32,5900,Morning,"A classic wool sweater for warmth and style. #woolsweater #winterfashion #style",Clothing,5k,3400,image_194.jpg
Video,Instagram,27,16400,Evening,"Our new electric toothbrush gives you a dentist-clean feeling every day. #electrictoothbrush #oralcare #tech",Electronic,100k,30000,image_195.jpg
Carousel,Facebook,26,8100,Afternoon,"The ultimate guide to vintage shopping. Find hidden gems. #vintageshopping #thrifting #fashion",Clothing,50k,8800,image_196.jpg
Image,Facebook,41,4800,Morning,"A motivational book to help you achieve your goals. #motivation #selfimprovement #books",Books,1k,2400,image_197.jpg
Video,Facebook,35,12500,Evening,"Our new language learning app makes learning a new language fun and easy. #languagelearning #app #education",Electronic,500k,13500,image_198.jpg
Image,Instagram,25,7500,Afternoon,"A body scrub that exfoliates and moisturizes for silky smooth skin. #bodyscrub #skincare #cosmetic",Cosmetic,50k,7000,image_199.jpg
Video,Facebook,39,14500,Night,"The secret to the perfect paella, revealed by a Spanish chef. 🇪🇸 #paella #spanishfood #recipe",Food,100k,16800,image_200.jpg

